kljuc,ime,drzava,pokali,zmage,endurance,exp,cas1,cas2,cas3,eff1,eff2,eff3,mastery1,mastery2,mastery3,ws1,ws2,ws3
2620977,SweeperZero,US,1209,215232,15780,150573870,1,11,46,200,168,149,99,89,50,95,26,11
8974083,Md-101,CN,1209,160523,12360,113884935,0,10,40,220,175,157,99,91,52,80,31,8
4173336,sky high,KR,1207,148700,9900,180173528,1,12,39,169,144,137,98,80,52,83,19,11
5587951,Mario Pro Gamer,HK,1206,131086,10440,80483582,0,8,39,225,176,151,100,87,54,129,24,10
6836079,mikan,JP,1199,160832,14280,133183052,0,15,50,207,166,151,99,91,52,93,35,10
3544203,Obelus,FI,1189,146996,12060,81147278,1,13,44,192,178,140,100,90,54,108,33,9
1457912,Thrainos,US,1187,112687,14760,66605364,1,14,46,210,175,150,98,82,54,90,23,9
8773586,AlphaVorteX,KR,1186,51879,11220,47161732,0,11,46,211,178,157,100,85,52,133,31,8
198754,Gini5525,LT,1181,145849,14040,84286933,1,12,44,180,156,138,99,87,49,82,35,12
5445223,Teshima M,JP,1181,64229,11340,63635751,1,12,42,188,157,146,100,89,51,112,29,8
11453722,DOA,US,1167,110946,16200,69526404,2,18,62,210,165,149,99,90,53,92,33,9
5978127,Anonymous5978127,CN,1166,60328,11880,51932194,0,12,48,186,160,146,97,82,52,63,36,7
4512690,Lucas C,US,1164,93144,16440,65683976,1,15,48,180,146,136,100,89,55,124,31,10
5242851,janitor2,DE,1161,113436,20460,50633678,1,17,63,217,184,146,99,84,53,92,25,12
1588995,Aris,GR,1160,99351,18780,56010590,1,11,42,178,145,133,99,87,51,86,26,9
5886562,Sirusc Trading gems (profile),DK,1159,196276,15900,80010474,1,18,67,181,159,139,99,91,51,93,45,11
595202,Baldi99,IT,1159,100604,13860,56206822,1,13,50,208,176,144,100,85,52,100,28,8
2554698,nagao,JP,1157,126604,13980,59816533,1,14,52,200,169,141,99,88,51,88,38,9
1783173,PTY,CN,1155,36565,13860,21135733,1,9,35,183,156,140,99,84,54,92,21,9
5345124,zhu4ara,BY,1154,126731,19860,67586427,1,16,60,212,161,142,100,86,46,101,34,12
3632248,Anonymous3632248,RU,1154,46475,13980,52587100,1,17,51,164,140,130,98,85,52,70,31,9
5008342,Nekoha Shizuku,CN,1154,58172,19680,29024882,0,9,50,214,163,140,98,85,49,73,27,7
3810877,StenWTF,RU,1153,79081,15900,87323580,1,18,58,177,155,134,98,86,51,60,28,8
1031637,kasenn,JP,1153,48261,15660,35100153,1,14,42,175,156,136,96,87,51,70,27,8
8571914,MOsweeper,DE,1151,181590,15720,53553067,1,17,60,167,143,143,100,85,47,125,27,12
2677763,PTTACGfans,TW,1151,84817,14520,50424467,1,14,59,200,168,148,98,86,48,75,27,8
2212652,greg,GR,1150,121037,74640,80441753,1,14,53,169,152,130,99,85,49,76,23,12
3384885,kashimic,JP,1150,74242,14220,47950405,1,11,48,211,161,139,99,82,48,74,24,8
2282005,MoCol,US,1148,106731,15300,77436181,1,15,57,175,141,132,98,82,50,83,24,8
6439946,youyou,JP,1148,79577,20100,52174114,1,15,52,183,152,140,99,80,48,80,27,8
3162279,South Ghost(more cus,CN,1146,54361,21240,71486590,2,19,68,159,148,138,98,86,55,76,26,11
15420315,Yermak,RU,1146,79188,19920,64727174,2,22,76,207,162,147,100,83,53,132,31,9
3039734,PurgeLight,US,1145,167211,21720,104585384,1,18,65,200,164,141,99,89,45,90,29,9
5309760,Rodallega,CN,1144,81232,21540,88089040,1,11,44,185,153,141,96,83,38,53,24,7
3472556,Zolingom,KR,1143,70541,14640,30249950,1,13,53,213,162,138,98,83,49,87,22,9
3020427,Rory★,HK,1142,99877,19200,41116790,1,13,48,233,170,142,97,86,53,81,30,13
5080433,Neutral,VN,1142,40797,17640,28963152,1,15,61,192,152,145,97,91,51,65,46,7
9931643,esuesu,JP,1140,96648,19200,56764719,2,19,64,200,164,139,99,88,46,85,39,8
4946833,rustixx,NO,1140,265436,18900,52485778,1,11,48,219,173,145,99,87,42,91,25,9
9449706,SA722,JP,1139,66837,20820,17689848,0,11,45,200,154,144,100,91,48,124,33,7
5125360,Buckethead5,FI,1138,261424,18180,69274587,1,13,45,191,158,136,100,85,42,104,25,8
6749868,The 40th General,JP,1138,59616,15060,44252618,1,15,53,180,149,136,97,90,47,75,30,8
1191828,Natyo,JP,1137,75318,16320,68988563,1,12,50,175,142,135,99,86,47,65,23,9
12426833,jannes,DE,1136,95940,17040,74094378,2,19,73,210,157,134,99,87,48,91,30,9
9487140,aFlower,JP,1136,59371,17700,50965906,2,18,65,186,163,138,99,85,48,77,30,8
5260061,MKKA~,AR,1132,55466,16920,32263924,1,14,55,207,166,144,99,86,49,93,24,8
17005649,hoyanoko,JP,1132,25522,23520,15512233,1,10,66,186,149,143,97,86,47,73,22,10
1489507,iddaga,KR,1131,408151,11040,39195633,1,16,48,170,140,127,100,88,51,113,30,9
9502324,????????,CN,1131,31173,19080,19433089,1,15,55,208,163,152,98,89,43,57,35,6
9588942,bolsa12389,AR,1129,123200,28620,59915333,1,24,80,220,161,144,99,92,51,83,43,8
1881608,mtanzer,US,1129,71128,12480,16648699,1,13,50,188,159,141,98,87,53,90,29,13
5356452,Injeong Park,KR,1127,233333,21660,114951715,1,23,76,170,150,135,99,89,42,90,36,8
3260917,Huhnhaufen,DE,1127,121752,82800,99968241,2,22,74,167,151,133,99,87,46,89,32,9
2142386,HIIH(𝑯𝑰𝑰𝑯)Read My Profile,TW,1127,78455,20640,79394918,2,18,64,164,149,124,99,85,51,92,25,8
2484838,Archeaic,NL,1127,80022,13680,34894003,1,10,35,180,151,131,98,83,46,79,26,7
15223773,0716!! / thank you!,JP,1127,21955,21360,16444549,0,16,53,193,158,148,100,74,48,110,22,10
1958979,Mauro Pit,IT,1126,98714,21360,64279009,1,18,70,165,151,131,100,86,45,106,29,9
1456633,Zlix,RS,1126,71839,17400,53117149,1,12,44,175,150,136,97,86,45,66,28,7
8007296,RaLu-ra,JP,1125,113769,16680,80977868,1,17,59,167,140,127,97,82,44,79,26,7
6362444,1155002818,HK,1125,147793,16800,77190766,1,17,67,167,152,132,98,90,44,76,27,7
1807839,robercik,PL,1124,167728,28620,134415282,1,17,61,183,150,132,99,89,33,80,31,7
4506329,KGD,KR,1124,132541,17520,74308575,1,19,65,153,145,131,100,88,45,112,27,8
3123610,diablo888,DE,1123,214195,27360,88363316,1,20,72,192,159,140,100,88,42,101,34,8
7359298,Sosoru(別ゲームに逃走中),JP,1123,60387,12720,19564579,0,12,48,171,156,130,99,84,50,89,28,8
5802800,Axel Lindström,SE,1122,122501,25140,62115128,1,21,81,200,154,141,99,88,49,81,27,9
4814658,DarkStar,CN,1122,43742,17700,27010262,1,14,53,160,153,133,97,83,51,63,26,8
13247721,BorbityBorb,GR,1122,44256,22740,23244574,0,18,71,189,162,151,99,91,50,88,34,8
12896030,TheMemeLocomotive,US,1122,40296,17460,21878179,1,12,63,208,162,147,99,88,46,74,29,7
7124359,potatoes,US,1122,24973,16860,7892422,0,8,43,200,175,143,94,88,45,35,28,8
7203653,rgg,XX,1120,135155,27480,58543817,1,19,70,181,157,138,100,83,44,104,30,8
3283855,ahwitz,US,1120,42621,16200,43635569,2,16,55,182,146,132,99,86,43,85,27,8
2531639,Al-Esku,NZ,1119,42843,15420,29791919,1,17,61,152,143,126,98,85,49,87,26,9
642285,Galaxi,SE,1118,69069,14100,42261278,1,13,50,200,141,126,99,90,50,84,31,7
1388039,boru,PL,1118,75163,50340,37978907,0,8,31,200,166,140,100,85,47,108,22,6
6095151,Nhuwjt,VN,1117,51707,21540,57323656,2,22,76,165,143,131,100,84,47,121,24,7
12409158,Cedur (hates NF arena),DE,1117,68168,17820,34690004,1,17,66,174,160,138,100,84,49,109,32,7
5002111,Yūki Akabane,JP,1116,94342,23640,45325464,1,20,74,192,159,139,98,88,46,80,26,8
17089279,Lovesick,JP,1116,29501,17820,34090929,2,19,69,171,143,135,100,90,50,107,31,7
1537421,trckui11,IL,1116,73253,19560,24341538,1,12,49,225,164,134,100,88,45,115,34,8
7086917,Prutsbeest,BE,1116,27738,16680,15216947,1,16,60,185,146,143,97,78,52,68,19,8
14579874,cream,JP,1115,51930,19380,37421329,1,20,68,194,160,144,98,88,44,71,30,6
4043148,Archer0930,CX,1115,51828,2897,25718219,0,10,45,200,170,144,99,89,42,82,30,7
2120292,Кандэлябр,BY,1114,144922,23940,105604389,2,21,78,178,155,134,99,83,43,87,31,8
3855374,afgg,US,1114,49199,17160,23579990,1,16,57,182,155,133,98,87,47,75,30,9
4969972,cat :3,US,1113,79076,34980,23767927,0,14,50,200,168,144,98,87,44,68,25,9
5331153,chowchunfu,HK,1113,20038,17160,15982296,1,17,65,142,138,136,97,85,53,42,14,10
4701265,eff,PH,1113,27060,81240,15415077,0,8,39,194,151,131,97,85,45,54,17,8
16587681,Cyclone0612,PL,1113,16213,38040,6259353,1,13,47,200,161,147,97,81,46,46,16,8
3468155,EufemiaHZ,ES,1112,75385,21480,56414863,1,18,62,185,154,128,99,87,42,74,33,6
1105425,MadsFuldGas,DK,1112,98351,22680,51619304,1,16,59,186,169,137,99,83,42,97,23,9
4909363,YooonY,KR,1111,147982,34200,58936376,2,19,77,193,146,130,99,88,52,85,30,9
3602486,team worm,US,1111,171659,25200,37631162,1,20,65,200,158,130,99,91,47,88,45,7
4067714,rotanimod,US,1110,50022,83160,24966205,2,15,59,182,147,140,99,81,48,83,23,10
4928386,CrystalClear,ID,1109,43220,3264,34720657,1,13,46,200,170,142,98,87,40,57,22,6
5813232,yumeoi,XX,1109,46522,17580,30369786,2,16,66,155,163,135,97,86,47,60,21,7
9887908,Aleksey Berdyugin,RU,1109,35949,17880,29578490,2,19,64,180,163,138,97,85,49,58,29,8
2150671,​hc,DK,1109,115372,3460,24144726,1,11,47,227,180,148,98,85,21,51,22,8
3221572,YSY,SG,1108,142414,18120,119032381,1,17,59,160,136,122,99,83,49,78,25,8
3223654,JSwole,US,1108,70075,15720,36112041,1,15,49,159,135,128,99,85,38,96,36,6
14507302,karikari,JP,1108,34820,17220,20689407,2,18,57,184,151,135,97,88,46,65,27,8
